"","x","max_deg_5","max_deg_10","max_deg_15","max_deg_20","max_deg_25","max_deg_30","max_deg_35","max_deg_40","max_deg_45","max_deg_50","max_deg_55","max_deg_60","max_deg_65","max_deg_70","max_deg_75","max_deg_80","max_deg_85","max_deg_90","max_deg_95","max_deg_100","max_deg_105","max_deg_110","max_deg_115","max_deg_120","max_deg_125","max_deg_130","max_deg_135","max_deg_140","max_deg_145","max_deg_150","max_deg_155","max_deg_160","max_deg_165","max_deg_170","max_deg_175","max_deg_180"
"28",9.51076320939335,0.0017861523053334,0.0017916975425064,0.00232610869404498,0.00196304916744629,0.0029654967273448,0.00235897827672127,0.00259629435910531,0.00204570587469892,0.00273357767943285,0.0034485193360811,0.0019001495604302,0.00191421591934361,0.00278456211000625,0.00209133645649285,0.00239918354871234,0.00252131915561866,0.00250500864344996,0.00253133674553387,0.00254746000516814,0.0029550169613502,0.00237049173956805,0.00273368050445417,0.00266347171470381,0.00281241684161392,0.00190090232066401,0.00298141045917921,0.00300523310207596,0.00286995240583514,0.00268220299153907,0.00291573351400723,0.00375674744571458,0.00354205438471253,0.00288493490529504,0.00321954617468299,0.0033729716932451,0.0032754335320248
"29",9.86301369863014,0.00180204652947369,0.00181563977649527,0.00234816824965048,0.0019841273373592,0.00299070839793555,0.00237336872280924,0.00261527937416592,0.00206792822295021,0.00275045018953335,0.00348323754500194,0.00191866653486067,0.00193797126119677,0.00281848509636638,0.00211586416087914,0.00241881272859189,0.00255127935005319,0.00253187262824726,0.00256041030036753,0.00257071538452909,0.00298459811563479,0.00239814744451409,0.00275712670701638,0.00269229477163854,0.00284046841957927,0.00192850642340552,0.00301340770747345,0.00303720038659122,0.00290582300793416,0.00271066174998539,0.00294941534259799,0.00379929740377675,0.00357990477811895,0.00291400899752697,0.00325838084100711,0.00340516563967879,0.00330544386132844
"30",10.2152641878669,0.0018176251064649,0.0018395248297085,0.00236994645266658,0.00200507747584516,0.00301492069193023,0.00238684000123053,0.00263366775443679,0.0020898697784465,0.00276655585434131,0.00351698998679003,0.00193695834985795,0.00196162801172263,0.00285167485227756,0.00214024486525665,0.00243770115057735,0.00258091585989464,0.00255792974530726,0.00258920521006321,0.0025933779376213,0.00301332841043187,0.00242501701728867,0.0027798794159011,0.00272086705568494,0.00286793089809029,0.00195600636065516,0.00304455104180472,0.0030688276092199,0.00294134648224538,0.00273886928122618,0.00298282695924971,0.0038403518587954,0.00361654221544487,0.00294241203006055,0.00329623909876025,0.00343682285912521,0.00333488276093564
"31",10.5675146771037,0.00183278451037143,0.001863371697406,0.00239147526470888,0.00202575908517818,0.00303878257931896,0.00239985203735621,0.00265158868977225,0.00211167465812153,0.00278236564827123,0.00355026563413679,0.00195508342063431,0.00198504098996295,0.0028845956251331,0.00216436989192583,0.00245623250996759,0.00261025765577243,0.00258357973247375,0.00261768463417458,0.00261578642727469,0.0030416401286044,0.0024514206319664,0.002802087579935,0.00274890521734228,0.00289491799066226,0.00198335353928562,0.00307495955018809,0.00309972127474768,0.00297651253892555,0.00276680827661511,0.00301583309156966,0.0038806377940952,0.00365246549389194,0.00297039799644223,0.00333362999407217,0.00346754275545415,0.00336349244367612
"32",10.9197651663405,0.00184735378771886,0.00188718415186798,0.00241254835239354,0.00204622797858988,0.00306182399698599,0.00241228778553569,0.00266855304150988,0.00213315991230309,0.00279769141948527,0.00358209282599371,0.00197309148410693,0.00200835257244404,0.00291687172670575,0.00218821068765859,0.00247404753151364,0.00263902739392967,0.00260874196507513,0.00264599094432884,0.00263771080021796,0.00306895541186802,0.00247739020095164,0.00282394233019765,0.00277657202215194,0.00292160038960227,0.00201061646795765,0.0031049040872034,0.00313015881542105,0.00301102090603923,0.00279428177582202,0.00304831460176848,0.00392003385074483,0.0036877177580094,0.00299751854160639,0.00337046215152379,0.00349737080902541,0.00339168162136842
"33",11.2720156555773,0.00186165225745189,0.00191092815787615,0.00243344606233005,0.00206655678571184,0.00308423412640538,0.00242392190356972,0.00268515931462749,0.0021544603971248,0.00281248122185281,0.00361338274575853,0.00199083429511965,0.00203149683843211,0.00294864280513,0.0022118977934646,0.00249130696608161,0.002667554662518,0.00263314110762975,0.00267392007605701,0.00265919895536336,0.00309568055495279,0.00250248385078916,0.00284491560230537,0.00280395242666123,0.00294755177509539,0.00203774844328881,0.00313371546319355,0.00316020194730545,0.00304522482657211,0.00282154047820453,0.00308051585487372,0.00395794098289867,0.00372165580858218,0.00302410271187855,0.00340635631438305,0.0035266559140539,0.00341917824400379
"34",11.6242661448141,0.00187531235264289,0.00193464310927372,0.00245393165002654,0.00208654734970905,0.00310617030121529,0.00243521323581199,0.00270095111389358,0.00217557895421479,0.00282702186990793,0.00364368617831727,0.00200847730899883,0.00205443665310403,0.00298002117131263,0.00223522046528211,0.00250820629230622,0.00269560247929153,0.00265718966826986,0.00270160968582713,0.00268043309822651,0.00312182251164978,0.00252717357349487,0.0028655525151449,0.00283068487455191,0.00297318348051992,0.00206473409080013,0.00316199542146903,0.00318943374290229,0.00307890649272452,0.00284847134336441,0.00311218435502066,0.00399514127885278,0.00375500089864643,0.00305023957760569,0.00344178470720585,0.00355478736343563,0.0034459891914354
"35",11.9765166340509,0.00188858336099704,0.00195829909516497,0.00247414359439927,0.00210641231435548,0.00312711336931659,0.00244558952828762,0.00271614127701592,0.00219638025669477,0.00284087336506666,0.00367291005596913,0.00202593706594867,0.00207726928637732,0.00301056600127944,0.00225833945040697,0.00252419015347005,0.00272322086899664,0.00268050990755802,0.00272909393850085,0.00270102785862824,0.0031469215219075,0.00255126015198733,0.00288562608263732,0.00285714440532881,0.00299839247902638,0.00209163093672678,0.00318960368739304,0.00321831278779001,0.00311203705694048,0.00287502930444857,0.00314342049574512,0.00403104799354375,0.00378740291503163,0.00307542092441495,0.00347649228195359,0.00358223492946635,0.00347238793316262
"36",12.3287671232877,0.00190148664766902,0.00198190293879164,0.00249412284540037,0.00212604522401556,0.00314769817121331,0.00245551777873989,0.00273087824012735,0.00221704851164393,0.00285446425743837,0.00370160649867015,0.0020432154163875,0.00209985838191371,0.00304079912413147,0.00228124591721059,0.00253981396793225,0.00275058956780448,0.00270327080309818,0.00275615360287069,0.00272134680619498,0.00317157419112823,0.00257457486666066,0.00290504835182695,0.00288316493825373,0.00302299536707077,0.00211837227227732,0.00321618241750501,0.00324663654958896,0.00314485161976976,0.00290138289522109,0.00317436872786228,0.0040657329990209,0.00381870480959511,0.00310018470606514,0.00351036754277103,0.00360907417295982,0.00349798741425379
"37",12.6810176125245,0.00191372762547663,0.00200547617372776,0.00251367023554594,0.00214544345399355,0.00316740692894889,0.00246487820973475,0.00274467048303883,0.00223744766793156,0.00286762697238258,0.00372873389673662,0.00206039767933009,0.00212229436627376,0.00307025074382173,0.00230378112301442,0.00255488422912896,0.00277728655167079,0.00272565208326888,0.00278302975467279,0.0027412819340403,0.00319531408070336,0.00259747244042325,0.00292414049782375,0.00290865491163075,0.00304730993595696,0.00214498031005655,0.003242267800007,0.00327430035429218,0.00317697480617913,0.00292736248150087,0.00320465641908588,0.00409968307161806,0.00384940370943885,0.00312436377252508,0.00354376540755285,0.00363469577172617,0.00352304649408359
