locus_radius:0.01,nuclear_radius:1,bound_zone_thickness:0.18350341907227397,bound_to_bound:0,unbound_to_bound:0,dt:1,
URA3_FLE_BOUNDARY_GAMALPHtest
X,Y,is_bound
-0.46641946271641954,-0.5983508251460579,0
-0.5403845862342909,-0.6361657765326338,0
-0.5930515857750697,-0.5959187756939217,0
-0.58161901740066,-0.7267386172151735,0
-0.5030148473401881,-0.648160845598106,0
-0.5213424879569369,-0.670554652197844,0
-0.40786599681733104,-0.6939914060117721,0
-0.3893272885740317,-0.7071753715546343,0
-0.46557843025550066,-0.763297099216136,0
-0.484372370370746,-0.7374883332481722,0
-0.31893358535300853,-0.7238242758224974,0
-0.4200613991186357,-0.7645631675850609,0
-0.4551964149210129,-0.7522247402934061,0
-0.5113316838845732,-0.6997085729226593,0
-0.38256422234795406,-0.6694762292397869,0
-0.43311960274431927,-0.7266064840258243,0
-0.42690649395913627,-0.6668973775630325,0
-0.465275334755523,-0.6633348225096292,0
-0.5304562339537361,-0.7207474994945378,0
-0.495646309226512,-0.6612285322258417,0
-0.4269321868686468,-0.7473036617617907,0
-0.6330139722119819,-0.7571910172593136,0
-0.413803435926821,-0.7489681721523831,0
-0.5342534221144708,-0.6991645920431088,0
-0.36216264677017085,-0.8046005141792012,0
-0.25421289776009254,-0.7204996204117953,0
-0.36693253367745576,-0.759110558918885,0
-0.490614273436084,-0.8132127650662115,0
-0.301855685048229,-0.9318928359498958,0
-0.1304090605261451,-0.9828856073320748,0
0.08023034438745658,-1.0257255007644508,0
0.21189478058406566,-1.0527746103992386,0
0.2952188389646214,-1.1138488782594278,0
0.23448858915978338,-1.2931924081103023,0
0.2894372624044109,-1.6026341269739954,0
0.348956304701625,-2.2320583012333985,0
0.6247379319823316,-3.466797462680367,0
1.0552324045946553,-5.952641573517757,0
1.9248861583106822,-10.922653733503601,0
3.662703742710262,-20.862960609397902,0
7.146209607055209,-40.742108167251274,0
14.122513385018024,-80.49875603127343,0
28.072011913883593,-160.01259284781372,0
55.97148709192423,-319.04018261198524,0
111.77039800116717,-637.0953690507946,0
223.36791426509845,-1273.2057955119271,0
446.5630111807462,-2545.4266371347157,0
892.9532473114411,-5089.868312959491,0
1785.7337014271338,-10178.751667792207,0
3571.2946127151617,-20356.51837692141,0
7142.4164268012555,-40712.051796669235,0
14284.660053972186,-81423.11863634054,0
28569.147310046945,-162845.25231537916,0
57138.12182158754,-325689.5196735632,0
114276.07084470714,-651378.0543899245,0
228551.9688910541,-1302755.1238226283,0
457103.7649837346,-2605509.262688038,0
914207.3571691194,-5211017.540418854,0
1828414.5415398944,-10422034.095880484,0
3656828.910281456,-20844067.206803743,0
7313657.64776458,-41688133.42865026,0
14627315.122730827,-83376265.8723433,0
29254630.072663322,-166752530.7597294,0
58509259.97252831,-333505060.53450155,0
117018519.77225828,-667010120.0840459,0
234037039.37171823,-1334020239.1831346,0
468074078.5706381,-2668040477.381312,0
936148156.968478,-5336080953.777666,0
1872296313.7641578,-10672161906.570374,0
3744592627.3555174,-21344323812.155792,0
7489185254.538237,-42688647623.32663,0
14978370508.903675,-85377295245.6683,0
29956741017.634552,-170754590490.35165,0
59913482035.096306,-341509180979.7184,0
119826964070.0198,-683018361958.4518,0
239653928139.86682,-1366036723915.9185,0
479307856279.56085,-2732073447830.852,0
958615712558.949,-5464146895660.719,0
1917231425117.725,-10928293791320.453,0
3834462850235.2773,-21856587582639.92,0
7668925700470.382,-43713175165278.86,0
15337851400940.59,-87426350330556.73,0
30675702801881.008,-174852700661112.5,0
61351405603761.84,-349705401322224.0,0
122702811207523.52,-699410802644447.0,0
245405622415046.88,-1398821605288893.0,0
490811244830093.56,-2797643210577785.0,0
981622489660187.0,-5595286421155569.0,0
1963244979320374.0,-1.1190572842311136e+16,0
3926489958640748.0,-2.238114568462227e+16,0
7852979917281496.0,-4.476229136924454e+16,0
1.5705959834562992e+16,-8.952458273848909e+16,0
3.1411919669125984e+16,-1.7904916547697818e+17,0
6.282383933825197e+16,-3.5809833095395635e+17,0
1.2564767867650394e+17,-7.161966619079127e+17,0
2.5129535735300787e+17,-1.4323933238158254e+18,0
5.0259071470601574e+17,-2.864786647631651e+18,0
1.0051814294120315e+18,-5.729573295263302e+18,0
2.010362858824063e+18,-1.1459146590526603e+19,0
4.020725717648126e+18,-2.2918293181053207e+19,0
8.041451435296252e+18,-4.583658636210641e+19,0
1.6082902870592504e+19,-9.167317272421283e+19,0
3.2165805741185008e+19,-1.8334634544842565e+20,0
6.4331611482370015e+19,-3.666926908968513e+20,0
1.2866322296474003e+20,-7.333853817937026e+20,0
2.5732644592948006e+20,-1.4667707635874052e+21,0
5.146528918589601e+20,-2.9335415271748104e+21,0
1.0293057837179202e+21,-5.867083054349621e+21,0
2.0586115674358405e+21,-1.1734166108699242e+22,0
4.117223134871681e+21,-2.3468332217398483e+22,0
8.234446269743362e+21,-4.693666443479697e+22,0
1.6468892539486724e+22,-9.387332886959393e+22,0
3.2937785078973448e+22,-1.8774665773918787e+23,0
6.5875570157946896e+22,-3.7549331547837574e+23,0
1.3175114031589379e+23,-7.509866309567515e+23,0
2.6350228063178758e+23,-1.501973261913503e+24,0
5.2700456126357516e+23,-3.003946523827006e+24,0
1.0540091225271503e+24,-6.007893047654012e+24,0
2.1080182450543007e+24,-1.2015786095308024e+25,0
4.2160364901086013e+24,-2.4031572190616047e+25,0
8.432072980217203e+24,-4.806314438123209e+25,0
1.6864145960434405e+25,-9.612628876246419e+25,0
3.372829192086881e+25,-1.9225257752492838e+26,0
6.745658384173762e+25,-3.8450515504985675e+26,0
1.3491316768347524e+26,-7.690103100997135e+26,0
2.698263353669505e+26,-1.538020620199427e+27,0
5.39652670733901e+26,-3.076041240398854e+27,0
1.079305341467802e+27,-6.152082480797708e+27,0
2.158610682935604e+27,-1.2304164961595416e+28,0
4.317221365871208e+27,-2.4608329923190832e+28,0
8.634442731742415e+27,-4.9216659846381664e+28,0
1.726888546348483e+28,-9.843331969276333e+28,0
3.453777092696966e+28,-1.9686663938552666e+29,0
6.907554185393932e+28,-3.937332787710533e+29,0
1.3815108370787865e+29,-7.874665575421066e+29,0
2.763021674157573e+29,-1.5749331150842133e+30,0
5.526043348315146e+29,-3.1498662301684265e+30,0
1.1052086696630292e+30,-6.299732460336853e+30,0
2.2104173393260584e+30,-1.2599464920673706e+31,0
4.420834678652117e+30,-2.519892984134741e+31,0
8.841669357304233e+30,-5.039785968269482e+31,0
1.7683338714608467e+31,-1.0079571936538965e+32,0
3.5366677429216934e+31,-2.015914387307793e+32,0
7.073335485843387e+31,-4.031828774615586e+32,0
1.4146670971686774e+32,-8.063657549231172e+32,0
2.8293341943373547e+32,-1.6127315098462344e+33,0
5.6586683886747094e+32,-3.225463019692469e+33,0
1.1317336777349419e+33,-6.450926039384938e+33,0
2.2634673554698838e+33,-1.2901852078769875e+34,0
4.5269347109397675e+33,-2.580370415753975e+34,0
9.053869421879535e+33,-5.16074083150795e+34,0
1.810773884375907e+34,-1.03214816630159e+35,0
3.621547768751814e+34,-2.06429633260318e+35,0
7.243095537503628e+34,-4.12859266520636e+35,0
1.4486191075007256e+35,-8.25718533041272e+35,0
2.8972382150014512e+35,-1.651437066082544e+36,0
5.7944764300029024e+35,-3.302874132165088e+36,0
1.1588952860005805e+36,-6.605748264330176e+36,0
2.317790572001161e+36,-1.3211496528660352e+37,0
4.635581144002322e+36,-2.6422993057320704e+37,0
9.271162288004644e+36,-5.284598611464141e+37,0
1.8542324576009288e+37,-1.0569197222928282e+38,0
3.7084649152018576e+37,-2.1138394445856563e+38,0
7.416929830403715e+37,-4.227678889171313e+38,0
1.483385966080743e+38,-8.455357778342625e+38,0
2.966771932161486e+38,-1.691071555668525e+39,0
5.933543864322972e+38,-3.38214311133705e+39,0
1.1867087728645944e+39,-6.7642862226741e+39,0
2.3734175457291888e+39,-1.35285724453482e+40,0
4.7468350914583777e+39,-2.70571448906964e+40,0
9.493670182916755e+39,-5.41142897813928e+40,0
1.898734036583351e+40,-1.082285795627856e+41,0
3.797468073166702e+40,-2.164571591255712e+41,0
7.594936146333404e+40,-4.329143182511424e+41,0
1.5189872292666809e+41,-8.658286365022848e+41,0
3.0379744585333617e+41,-1.7316572730045697e+42,0
6.0759489170667234e+41,-3.4633145460091393e+42,0
1.2151897834133447e+42,-6.926629092018279e+42,0
2.4303795668266894e+42,-1.3853258184036557e+43,0
4.860759133653379e+42,-2.7706516368073115e+43,0
9.721518267306757e+42,-5.541303273614623e+43,0
1.9443036534613515e+43,-1.1082606547229246e+44,0
3.888607306922703e+43,-2.216521309445849e+44,0
7.777214613845406e+43,-4.433042618891698e+44,0
1.5554429227690812e+44,-8.866085237783397e+44,0
3.1108858455381624e+44,-1.7732170475566793e+45,0
6.221771691076325e+44,-3.5464340951133587e+45,0
1.244354338215265e+45,-7.092868190226717e+45,0
2.48870867643053e+45,-1.4185736380453435e+46,0
4.97741735286106e+45,-2.837147276090687e+46,0
9.95483470572212e+45,-5.674294552181374e+46,0
1.990966941144424e+46,-1.1348589104362748e+47,0
3.981933882288848e+46,-2.2697178208725495e+47,0
7.963867764577696e+46,-4.539435641745099e+47,0
1.5927735529155391e+47,-9.078871283490198e+47,0
3.1855471058310783e+47,-1.8157742566980396e+48,0
6.371094211662157e+47,-3.631548513396079e+48,0
1.2742188423324313e+48,-7.263097026792159e+48,0
2.5484376846648626e+48,-1.4526194053584317e+49,0
5.096875369329725e+48,-2.9052388107168634e+49,0
1.019375073865945e+49,-5.810477621433727e+49,0
2.03875014773189e+49,-1.1620955242867454e+50,0
4.07750029546378e+49,-2.3241910485734907e+50,0
